ordertypeid,name,cpt_code,work_rvu,non_fac_pe_rvu,fac_pe_rvu,mp_rvu
341884,rhinology referral,99203,1.6,1.61,0.69,0.16
341886,head and neck referral,99213,1.3,1.35,0.57,0.1
341887,laryngology referral,99213,1.3,1.35,0.57,0.1
342382,support group referral,99213,1.3,1.35,0.57,0.1
342521,ambulatory surgical center referral,99215,2.8,2.42,1.28,0.21
343433,TMJ referral,99203,1.6,1.61,0.69,0.16
343502,anticoagulation therapy referral,99213,1.3,1.35,0.57,0.1
343565,neo adjuvant chemotherapy,99213,1.3,1.35,0.57,0.1
343607,medication assistance program,99213,1.3,1.35,0.57,0.1
343846,"women, infant and children's program referral",99213,1.3,1.35,0.57,0.1
343905,gait training referral,97116,0.45,0.43,0.43,0.01
343908,outpatient detox,99213,1.3,1.35,0.57,0.1
343927,medication education referral,99213,1.3,1.35,0.57,0.1
344017,CKD stage 3 education,99213,1.3,1.35,0.57,0.1
344018,CKD stage 4 education,99214,1.92,1.8,0.83,0.15
346266,laser treatment,69220,0.83,1.42,0.6,0.13
346326,community care referral,99213,1.3,1.35,0.57,0.1
346421,stress management referral,97124,0.35,0.56,0.56,0.01
347054,inpatient detoxification program referral,99215,2.8,2.42,1.28,0.21
347390,lung cancer referral,99213,1.3,1.35,0.57,0.1
347559,substance abuse referral,90837,3.63,1.06,0.45,0.08
347563,osteopathic referral,99213,1.3,1.35,0.57,0.1
347571,lead poisoning referral,90853,0.65,0.2,0.08,0.02
347572,tuberculosis contact referral,99214,1.92,1.8,0.83,0.15
347573,rabies investigation referral,99203,1.6,1.61,0.69,0.16
347718,bereavement counselor referral,97156,0.0,0.0,0.0,0.0
347728,home telemonitoring services,99091,1.1,0.43,0.43,0.07
348141,autism clinic referral,99203,1.6,1.61,0.69,0.16
348610,spina bifida clinic referral,99203,1.6,1.61,0.69,0.16
348611,down syndrome clinic referral,99215,2.8,2.42,1.28,0.21
348612,nicu follow up clinic referral,99213,1.3,1.35,0.57,0.1
348613,cleft lip/palate clinic referral,99203,1.6,1.61,0.69,0.16
348701,muscular dystrophy clinic referral,97602,0.0,0.0,0.0,0.0
348765,peritoneal dialysis catheter assessment referral,99213,1.3,1.35,0.57,0.1
348766,av fistula assessment referral,99203,1.6,1.61,0.69,0.16
348912,eating disorder therapy referral,90837,3.63,1.06,0.45,0.08
349254,clinical review board referral,99221,1.63,0.66,0.66,0.17
349294,imaging interpretation consult,99283,1.6,0.35,0.35,0.16
349321,lifelink referral,99213,1.3,1.35,0.57,0.1
349443,cerebral palsy clinic referral,99213,1.3,1.35,0.57,0.1
349523,hormone imbalance referral,97602,0.0,0.0,0.0,0.0
